,width,x
0,5e-07,0.0
1,6.0749895888e-07,4.00801603206e-07
2,7.73092237949e-07,8.01603206413e-07
3,9.69135675808e-07,1.20240480962e-06
4,1.17119013851e-06,1.60320641283e-06
5,1.36612000164e-06,2.00400801603e-06
6,1.54767412304e-06,2.40480961924e-06
7,1.71446361639e-06,2.80561122244e-06
8,1.86933511241e-06,3.20641282565e-06
9,2.01397045444e-06,3.60721442886e-06
10,2.1496274821e-06,4.00801603206e-06
11,2.27758946082e-06,4.40881763527e-06
12,2.39886537616e-06,4.80961923848e-06
13,2.51422010271e-06,5.21042084168e-06
14,2.62428686498e-06,5.61122244489e-06
15,2.72962722282e-06,6.0120240481e-06
16,2.83073922529e-06,6.4128256513e-06
17,2.92801658329e-06,6.81362725451e-06
18,3.02175310405e-06,7.21442885772e-06
19,3.11225414581e-06,7.61523046092e-06
20,3.19978369017e-06,8.01603206413e-06
21,3.28454166034e-06,8.41683366733e-06
22,3.36674716733e-06,8.81763527054e-06
23,3.44654140916e-06,9.21843687375e-06
24,3.52410759993e-06,9.61923847695e-06
25,3.59956145192e-06,1.00200400802e-05
26,3.67304861616e-06,1.04208416834e-05
27,3.7446735897e-06,1.08216432866e-05
28,3.81453321859e-06,1.12224448898e-05
29,3.88273819346e-06,1.1623246493e-05
30,3.94934746721e-06,1.20240480962e-05
31,4.01445651506e-06,1.24248496994e-05
32,4.0781426089e-06,1.28256513026e-05
33,4.14045950163e-06,1.32264529058e-05
34,4.20148301456e-06,1.3627254509e-05
35,4.26127874743e-06,1.40280561122e-05
36,4.31988519302e-06,1.44288577154e-05
37,4.37735993396e-06,1.48296593186e-05
38,4.43375637514e-06,1.52304609218e-05
39,4.48910207239e-06,1.56312625251e-05
40,4.5434413152e-06,1.60320641283e-05
41,4.59681876484e-06,1.64328657315e-05
42,4.64927150908e-06,1.68336673347e-05
43,4.7008226425e-06,1.72344689379e-05
44,4.7515093054e-06,1.76352705411e-05
45,4.80136514174e-06,1.80360721443e-05
46,4.8504178774e-06,1.84368737475e-05
47,4.898683822e-06,1.88376753507e-05
48,4.9461919063e-06,1.92384769539e-05
49,4.99296948261e-06,1.96392785571e-05
50,5.03904244617e-06,2.00400801603e-05
51,5.08442271313e-06,2.04408817635e-05
52,5.12913240958e-06,2.08416833667e-05
53,5.17319429758e-06,2.12424849699e-05
54,5.21663002555e-06,2.16432865731e-05
55,5.25945856266e-06,2.20440881764e-05
56,5.30168925576e-06,2.24448897796e-05
57,5.34334005278e-06,2.28456913828e-05
58,5.38442809195e-06,2.3246492986e-05
59,5.42496975349e-06,2.36472945892e-05
60,5.46498058099e-06,2.40480961924e-05
61,5.50446614748e-06,2.44488977956e-05
62,5.5434411711e-06,2.48496993988e-05
63,5.58191976317e-06,2.5250501002e-05
64,5.61991546383e-06,2.56513026052e-05
65,5.65744127489e-06,2.60521042084e-05
66,5.69450606338e-06,2.64529058116e-05
67,5.73111793493e-06,2.68537074148e-05
68,5.76728854502e-06,2.7254509018e-05
69,5.80302837639e-06,2.76553106212e-05
70,5.83834770062e-06,2.80561122244e-05
71,5.87325641826e-06,2.84569138277e-05
