,x,width
0,0.0,5e-07
1,8.9416e-08,5.2525e-07
2,1.7637999999999997e-07,5.5051e-07
3,2.5952e-07,5.7576e-07
4,3.3927e-07,6.010100000000001e-07
5,4.167e-07,6.2626e-07
6,4.931800000000001e-07,6.515200000000001e-07
7,5.703899999999999e-07,6.767699999999999e-07
8,6.503799999999999e-07,7.020199999999999e-07
9,7.357899999999999e-07,7.2727e-07
10,8.2993e-07,7.5253e-07
11,9.362e-07,7.777800000000001e-07
12,1.0564e-06,8.0303e-07
13,1.1893e-06,8.282799999999998e-07
14,1.3313999999999999e-06,8.5354e-07
15,1.4789e-06,8.787899999999999e-07
16,1.6291e-06,9.0404e-07
17,1.7802000000000001e-06,9.2929e-07
18,1.9309e-06,9.5455e-07
19,2.0806e-06,9.798000000000001e-07
20,2.2287e-06,1.0051000000000001e-06
21,2.3752e-06,1.0303000000000001e-06
22,2.5199000000000002e-06,1.0556000000000001e-06
23,2.6631e-06,1.0807999999999999e-06
24,2.8046e-06,1.1061e-06
25,2.9445999999999997e-06,1.1312999999999999e-06
26,3.0832e-06,1.1565999999999999e-06
27,3.2204e-06,1.1818e-06
28,3.3563999999999997e-06,1.2070999999999998e-06
29,3.4912e-06,1.2323e-06
30,3.6269e-06,1.2576e-06
31,3.7658e-06,1.2828e-06
32,3.9077e-06,1.3081e-06
33,4.0526e-06,1.3333000000000002e-06
34,4.2007e-06,1.3586000000000002e-06
35,4.3518e-06,1.3838e-06
36,4.5060000000000006e-06,1.4091e-06
37,4.6633e-06,1.4343e-06
38,4.8237e-06,1.4596000000000002e-06
39,4.9871e-06,1.4848e-06
40,5.1536e-06,1.5101e-06
41,5.3232e-06,1.5354e-06
42,5.495800000000001e-06,1.5606e-06
43,5.6714e-06,1.5859000000000001e-06
44,5.8501e-06,1.6111000000000001e-06
45,6.0318e-06,1.6364e-06
46,6.2165e-06,1.6616e-06
47,6.404400000000001e-06,1.6868999999999999e-06
48,6.5952e-06,1.7121e-06
49,6.7891e-06,1.7374e-06
50,6.9861e-06,1.7625999999999999e-06
51,7.186e-06,1.7878999999999999e-06
52,7.389099999999999e-06,1.8131e-06
53,7.5952e-06,1.8384e-06
54,7.804299999999999e-06,1.8636e-06
55,8.0164e-06,1.8888999999999998e-06
56,8.2316e-06,1.9141e-06
57,8.4499e-06,1.9394e-06
58,8.6711e-06,1.9646000000000002e-06
59,8.8954e-06,1.9899e-06
60,9.1227e-06,2.0152e-06
61,9.3531e-06,2.0404e-06
62,9.5864e-06,2.0657e-06
63,9.8228e-06,2.0909e-06
64,1.0062000000000001e-05,2.1162e-06
65,1.0305e-05,2.1414e-06
66,1.055e-05,2.1667e-06
67,1.0799000000000001e-05,2.1919e-06
68,1.105e-05,2.2172e-06
69,1.1305e-05,2.2424e-06
70,1.1562e-05,2.2677e-06
71,1.1827e-05,2.2929e-06
72,1.2102999999999999e-05,2.3182e-06
73,1.2392000000000001e-05,2.3434e-06
74,1.2695e-05,2.3687e-06
75,1.3011e-05,2.3939e-06
76,1.3344000000000001e-05,2.4192e-06
77,1.3693e-05,2.4444e-06
78,1.4059e-05,2.4697e-06
79,1.4445999999999999e-05,2.4949e-06
80,1.4854e-05,2.5202e-06
81,1.5285e-05,2.5455e-06
82,1.5741e-05,2.5707e-06
83,1.6226e-05,2.5960000000000002e-06
84,1.6742e-05,2.6212e-06
85,1.7292e-05,2.6464999999999996e-06
86,1.7881e-05,2.6717e-06
87,1.8514e-05,2.6969999999999998e-06
88,1.9196e-05,2.7222000000000004e-06
89,1.9936e-05,2.7475e-06
90,2.0741e-05,2.7726999999999997e-06
91,2.1623000000000003e-05,2.798e-06
92,2.2598000000000003e-05,2.8232e-06
93,2.3683000000000003e-05,2.8485000000000003e-06
94,2.4904e-05,2.8737e-06
95,2.6297e-05,2.8989999999999997e-06
96,2.7915e-05,2.9242000000000003e-06
97,2.9835e-05,2.9495e-06
98,3.2192e-05,2.9747e-06
99,3.523e-05,3e-06
