,width,x
0,5e-07,0.0
1,6.54369772535e-07,4.00801603206e-07
2,8.80245185675e-07,8.01603206413e-07
3,1.12329311855e-06,1.20240480962e-06
4,1.35805284071e-06,1.60320641283e-06
5,1.57629470074e-06,2.00400801603e-06
6,1.77511538733e-06,2.40480961924e-06
7,1.95737918465e-06,2.80561122244e-06
8,2.12610073899e-06,3.20641282565e-06
9,2.28327793643e-06,3.60721442886e-06
10,2.43066103152e-06,4.00801603206e-06
11,2.56969543467e-06,4.40881763527e-06
12,2.70142161215e-06,4.80961923848e-06
13,2.82671206678e-06,5.21042084168e-06
14,2.94626705561e-06,5.61122244489e-06
15,3.06073031205e-06,6.0120240481e-06
16,3.17060166735e-06,6.4128256513e-06
17,3.27631588799e-06,6.81362725451e-06
18,3.37819268567e-06,7.21442885772e-06
19,3.47657508173e-06,7.61523046092e-06
20,3.571718209e-06,8.01603206413e-06
21,3.66385478448e-06,8.41683366733e-06
22,3.75320442532e-06,8.81763527054e-06
23,3.83994712581e-06,9.21843687375e-06
24,3.92425870015e-06,9.61923847695e-06
25,4.00629625542e-06,1.00200400802e-05
26,4.08619293333e-06,1.04208416834e-05
27,4.16409771478e-06,1.08216432866e-05
28,4.24008865446e-06,1.12224448898e-05
29,4.3142840701e-06,1.1623246493e-05
30,4.38677937794e-06,1.20240480962e-05
31,4.45764499273e-06,1.24248496994e-05
32,4.52697470423e-06,1.28256513026e-05
33,4.59484179537e-06,1.32264529058e-05
34,4.66130051157e-06,1.3627254509e-05
35,4.726422028e-06,1.40280561122e-05
36,4.79026884813e-06,1.44288577154e-05
37,4.85287537262e-06,1.48296593186e-05
38,4.91429995001e-06,1.52304609218e-05
39,4.97459687443e-06,1.56312625251e-05
40,5.03380289865e-06,1.60320641283e-05
41,5.09195549906e-06,1.64328657315e-05
42,5.14910040837e-06,1.68336673347e-05
43,5.20528034895e-06,1.72344689379e-05
44,5.26052071999e-06,1.76352705411e-05
45,5.31485081122e-06,1.80360721443e-05
46,5.36830499628e-06,1.84368737475e-05
47,5.42091571544e-06,1.88376753507e-05
48,5.47270665122e-06,1.92384769539e-05
49,5.52369745689e-06,1.96392785571e-05
50,5.57391639271e-06,2.00400801603e-05
51,5.62339026552e-06,2.04408817635e-05
52,5.67214453452e-06,2.08416833667e-05
53,5.7201927125e-06,2.12424849699e-05
54,5.76755471368e-06,2.16432865731e-05
55,5.81425154233e-06,2.20440881764e-05
56,5.86030333248e-06,2.24448897796e-05
57,5.90572930273e-06,2.28456913828e-05
58,5.9505395656e-06,2.3246492986e-05
59,5.9947492363e-06,2.36472945892e-05
60,6.0383755108e-06,2.40480961924e-05
61,6.08143485785e-06,2.44488977956e-05
62,6.12394306267e-06,2.48496993988e-05
63,6.16591258888e-06,2.5250501002e-05
64,6.20735193458e-06,2.56513026052e-05
65,6.24827536537e-06,2.60521042084e-05
66,6.28869659315e-06,2.64529058116e-05
67,6.32862854418e-06,2.68537074148e-05
68,6.36808313797e-06,2.7254509018e-05
69,6.40706909029e-06,2.76553106212e-05
70,6.44559326741e-06,2.80561122244e-05
71,6.48366650387e-06,2.84569138277e-05
72,6.5212992514e-06,2.88577154309e-05
73,6.55850159815e-06,2.92585170341e-05
74,6.59528328671e-06,2.96593186373e-05
75,6.63165356571e-06,3.00601202405e-05
76,6.66761626315e-06,3.04609218437e-05
77,6.70318032992e-06,3.08617234469e-05
78,6.73835442668e-06,3.12625250501e-05
79,6.77314693729e-06,3.16633266533e-05
80,6.80756598142e-06,3.20641282565e-05
81,6.84161942649e-06,3.24649298597e-05
82,6.87531414388e-06,3.28657314629e-05
83,6.90865392099e-06,3.32665330661e-05
84,6.94164559499e-06,3.36673346693e-05
85,6.97429577313e-06,3.40681362725e-05
86,7.00661086994e-06,3.44689378758e-05
87,7.03859711525e-06,3.4869739479e-05
88,7.07026056171e-06,3.52705410822e-05
89,7.10160709196e-06,3.56713426854e-05
90,7.13263988514e-06,3.60721442886e-05
91,7.16336405334e-06,3.64729458918e-05
