,width,x
0,5e-07,0.0
1,6.0749895888e-07,3.00601202405e-07
2,7.73092237949e-07,6.0120240481e-07
3,9.69135675808e-07,9.01803607214e-07
4,1.17119013851e-06,1.20240480962e-06
5,1.36612000164e-06,1.50300601202e-06
6,1.54767412304e-06,1.80360721443e-06
7,1.71446361639e-06,2.10420841683e-06
8,1.86933511241e-06,2.40480961924e-06
9,2.01397045444e-06,2.70541082164e-06
10,2.1496274821e-06,3.00601202405e-06
11,2.27758946082e-06,3.30661322645e-06
12,2.39886537616e-06,3.60721442886e-06
13,2.51422010271e-06,3.90781563126e-06
14,2.62428686498e-06,4.20841683367e-06
15,2.72962722282e-06,4.50901803607e-06
16,2.83073922529e-06,4.80961923848e-06
17,2.92801658329e-06,5.11022044088e-06
18,3.02175310405e-06,5.41082164329e-06
19,3.11225414581e-06,5.71142284569e-06
20,3.19978369017e-06,6.0120240481e-06
21,3.28454166034e-06,6.3126252505e-06
22,3.36674716733e-06,6.61322645291e-06
23,3.44654140916e-06,6.91382765531e-06
24,3.52410759993e-06,7.21442885772e-06
25,3.59956145192e-06,7.51503006012e-06
26,3.67304861616e-06,7.81563126253e-06
27,3.7446735897e-06,8.11623246493e-06
28,3.81453321859e-06,8.41683366733e-06
29,3.88273819346e-06,8.71743486974e-06
30,3.94934746721e-06,9.01803607214e-06
31,4.01445651506e-06,9.31863727455e-06
32,4.0781426089e-06,9.61923847695e-06
33,4.14045950163e-06,9.91983967936e-06
34,4.20148301456e-06,1.02204408818e-05
35,4.26127874743e-06,1.05210420842e-05
36,4.31988519302e-06,1.08216432866e-05
37,4.37735993396e-06,1.1122244489e-05
38,4.43375637514e-06,1.14228456914e-05
39,4.48910207239e-06,1.17234468938e-05
40,4.5434413152e-06,1.20240480962e-05
41,4.59681876484e-06,1.23246492986e-05
42,4.64927150908e-06,1.2625250501e-05
43,4.7008226425e-06,1.29258517034e-05
44,4.7515093054e-06,1.32264529058e-05
45,4.80136514174e-06,1.35270541082e-05
46,4.8504178774e-06,1.38276553106e-05
47,4.898683822e-06,1.4128256513e-05
48,4.9461919063e-06,1.44288577154e-05
49,4.99296948261e-06,1.47294589178e-05
50,5.03904244617e-06,1.50300601202e-05
51,5.08442271313e-06,1.53306613226e-05
52,5.12913240958e-06,1.56312625251e-05
53,5.17319429758e-06,1.59318637275e-05
54,5.21663002555e-06,1.62324649299e-05
55,5.25945856266e-06,1.65330661323e-05
56,5.30168925576e-06,1.68336673347e-05
57,5.34334005278e-06,1.71342685371e-05
58,5.38442809195e-06,1.74348697395e-05
59,5.42496975349e-06,1.77354709419e-05
60,5.46498058099e-06,1.80360721443e-05
61,5.50446614748e-06,1.83366733467e-05
62,5.5434411711e-06,1.86372745491e-05
63,5.58191976317e-06,1.89378757515e-05
64,5.61991546383e-06,1.92384769539e-05
65,5.65744127489e-06,1.95390781563e-05
66,5.69450606338e-06,1.98396793587e-05
67,5.73111793493e-06,2.01402805611e-05
68,5.76728854502e-06,2.04408817635e-05
69,5.80302837639e-06,2.07414829659e-05
70,5.83834770062e-06,2.10420841683e-05
71,5.87325641826e-06,2.13426853707e-05
72,5.90776120612e-06,2.16432865731e-05
73,5.94186813224e-06,2.19438877756e-05
74,5.9755862627e-06,2.2244488978e-05
75,6.0089243543e-06,2.25450901804e-05
76,6.04189086958e-06,2.28456913828e-05
77,6.0744939909e-06,2.31462925852e-05
78,6.10674149816e-06,2.34468937876e-05
79,6.13863642633e-06,2.374749499e-05
80,6.17018631997e-06,2.40480961924e-05
81,6.20139848676e-06,2.43486973948e-05
82,6.23228000813e-06,2.46492985972e-05
83,6.26283774932e-06,2.49498997996e-05
84,6.2930781745e-06,2.5250501002e-05
85,6.32300700454e-06,2.55511022044e-05
86,6.35262683606e-06,2.58517034068e-05
87,6.38194345247e-06,2.61523046092e-05
88,6.4109624711e-06,2.64529058116e-05
89,6.43968935e-06,2.6753507014e-05
90,6.46812939435e-06,2.70541082164e-05
91,6.49628776254e-06,2.73547094188e-05
92,6.52416947194e-06,2.76553106212e-05
93,6.55177756736e-06,2.79559118236e-05
94,6.57911599333e-06,2.82565130261e-05
95,6.60618943109e-06,2.85571142285e-05
96,6.63300243937e-06,2.88577154309e-05
97,6.65955945893e-06,2.91583166333e-05
98,6.68586481695e-06,2.94589178357e-05
99,6.71192273112e-06,2.97595190381e-05
100,6.73773731363e-06,3.00601202405e-05
101,6.76331113576e-06,3.03607214429e-05
102,6.78864771025e-06,3.06613226453e-05
103,6.81375071401e-06,3.09619238477e-05
104,6.83862366973e-06,3.12625250501e-05
105,6.86327001512e-06,3.15631262525e-05
106,6.88769310696e-06,3.18637274549e-05
107,6.91189622377e-06,3.21643286573e-05
108,6.93588256842e-06,3.24649298597e-05
109,6.95965487761e-06,3.27655310621e-05
110,6.98321542224e-06,3.30661322645e-05
111,7.00656721215e-06,3.33667334669e-05
112,7.02971319019e-06,3.36673346693e-05
113,7.05265623433e-06,3.39679358717e-05
114,7.07539915969e-06,3.42685370741e-05
115,7.09794472044e-06,3.45691382766e-05
116,7.12029561173e-06,3.4869739479e-05
117,7.14245447142e-06,3.51703406814e-05
118,7.1644236452e-06,3.54709418838e-05
119,7.1862052959e-06,3.57715430862e-05
120,7.20780190892e-06,3.60721442886e-05
121,7.22921591865e-06,3.6372745491e-05
122,7.25044970989e-06,3.66733466934e-05
123,7.2715056193e-06,3.69739478958e-05
124,7.29238593682e-06,3.72745490982e-05
125,7.3130929069e-06,3.75751503006e-05
126,7.33362880613e-06,3.7875751503e-05
127,7.35399564944e-06,3.81763527054e-05
128,7.37419531091e-06,3.84769539078e-05
129,7.39422971815e-06,3.87775551102e-05
130,7.41410077274e-06,3.90781563126e-05
131,7.43381034034e-06,3.9378757515e-05
132,7.45336025168e-06,3.96793587174e-05
133,7.4727523034e-06,3.99799599198e-05
134,7.49198825901e-06,4.02805611222e-05
135,7.51106984968e-06,4.05811623246e-05
136,7.52999877508e-06,4.08817635271e-05
137,7.54877670421e-06,4.11823647295e-05
138,7.56740555619e-06,4.14829659319e-05
139,7.58588696711e-06,4.17835671343e-05
140,7.60422251466e-06,4.20841683367e-05
