Wavelength(nm)	n	k
190.7	0.847	2.73
198.4	0.968	2.89
206.6	1.11	3.05
207.3	1.036	2.928
208	1.046	2.944
208.7	1.066	2.937
209.4	1.07	2.963
210.1	1.083	2.982
210.9	1.088	2.987
211.6	1.102	3.005
212.3	1.109	3.015
213	1.119	3.025
213.8	1.24	3.18
214.5	1.139	3.061
215.3	1.155	3.073
216	1.164	3.086
216.8	1.175	3.102
217.5	1.18	3.112
218.3	1.195	3.135
219.1	1.211	3.15
219.8	1.222	3.169
220.6	1.235	3.19
221.4	1.4	3.33
222.2	1.265	3.228
223	1.28	3.245
223.8	1.299	3.267
224.6	1.319	3.285
225.4	1.34	3.302
226.3	1.362	3.319
227.1	1.389	3.334
227.9	1.416	3.35
228.8	1.445	3.359
229.6	1.64	3.44
230.5	1.502	3.368
231.3	1.526	3.368
232.2	1.548	3.364
233.1	1.566	3.358
233.9	1.75	3.42
234.8	1.585	3.346
235.7	1.59	3.344
236.6	1.591	3.344
237.5	1.592	3.347
238.4	1.78	3.36
239.4	1.586	3.363
240.3	1.582	3.376
241.2	1.579	3.389
242.2	1.573	3.408
243.1	1.72	3.42
244.1	1.57	3.451
245	1.569	3.477
246	1.568	3.504
247	1.569	3.533
248	1.68	3.58
249	1.575	3.598
250	1.58	3.632
251	1.584	3.67
252	1.591	3.709
253	1.597	3.749
254.1	1.608	3.789
255.1	1.618	3.835
256.2	1.629	3.88
257.2	1.643	3.928
258.3	1.658	3.979
259.4	1.673	4.031
260.5	1.692	4.088
261.6	1.713	4.149
262.7	1.737	4.211
263.8	1.764	4.278
264.9	1.794	4.35
266.1	1.831	4.426
267.2	1.874	4.506
268.4	1.927	4.59
269.5	1.988	4.678
270.7	2.059	4.764
271.9	2.14	4.849
273.1	2.234	4.933
274.3	2.339	5.011
275.5	2.451	5.082
276.8	2.572	5.148
278	2.7	5.206
279.2	2.833	5.257
280.5	2.974	5.304
281.8	3.12	5.344
283.1	3.277	5.381
284.4	3.444	5.414
285.7	3.634	5.435
287	3.849	5.439
288.3	4.086	5.395
289.7	4.318	5.301
291	4.525	5.158
292.4	4.686	4.989
293.8	4.805	4.812
295.2	4.888	4.639
296.6	4.941	4.48
298	4.977	4.335
299.5	4.999	4.204
300.9	5.012	4.086
302.4	5.02	3.979
303.9	5.021	3.885
305.4	5.02	3.798
306.9	5.018	3.72
308.4	5.015	3.65
310	5.01	3.587
311.5	5.009	3.529
313.1	5.01	3.477
314.7	5.009	3.429
316.3	5.012	3.386
317.9	5.016	3.346
319.5	5.021	3.31
321.2	5.029	3.275
322.9	5.04	3.242
324.6	5.052	3.211
326.3	5.065	3.182
328	5.079	3.154
329.7	5.095	3.128
331.5	5.115	3.103
333.3	5.134	3.079
335.1	5.156	3.058
336.9	5.179	3.039
338.8	5.204	3.021
340.6	5.231	3.007
342.5	5.261	2.995
344.4	5.296	2.987
346.3	5.336	2.983
348.3	5.383	2.984
350.2	5.442	2.989
352.2	5.515	2.999
354.2	5.61	3.014
356.3	5.733	3.026
358.3	5.894	3.023
360.4	6.089	2.982
362.5	6.308	2.881
364.7	6.522	2.705
366.8	6.695	2.456
369	6.796	2.169
371.2	6.829	1.87
373.4	6.799	1.571
375.7	6.709	1.321
378	6.585	1.11
380.3	6.452	0.945
382.7	6.316	0.815
385	6.185	0.714
387.5	6.062	0.63
389.9	5.948	0.561
392.4	5.842	0.505
394.9	5.744	0.456
397.4	5.654	0.416
400	5.57	0.387
402.5	5.493	0.355
405.2	5.42	0.329
407.8	5.349	0.313
410.5	5.284	0.291
413.3	5.222	0.269
416.1	5.164	0.255
418.9	5.109	0.244
421.7	5.058	0.228
424.6	5.009	0.211
427.5	4.961	0.203
430.5	4.916	0.194
433.5	4.872	0.185
436.6	4.831	0.185
439.7	4.791	0.17
442.8	4.753	0.163
446	4.718	0.149
449.2	4.682	0.149
452.5	4.648	0.133
455.8	4.615	0.131
459.2	4.583	0.13
462.6	4.553	0.131
466.1	4.522	0.134
469.6	4.495	0.12
473.2	4.466	0.12
476.9	4.442	0.09
480.6	4.416	0.094
484.3	4.391	0.083
488.1	4.367	0.079
492	4.343	0.077
495.9	4.32	0.073
499.9	4.298	0.073
504	4.277	0.066
508.1	4.255	0.072
512.3	4.235	0.06
516.6	4.215	0.06
520.9	4.196	0.056
525.4	4.177	0.053
529.9	4.159	0.043
534.4	4.14	0.045
539.1	4.123	0.048
543.8	4.106	0.044
548.6	4.089	0.044
553.5	4.073	0.032
558.5	4.057	0.038
563.6	4.042	0.032
568.7	4.026	0.034
574	4.012	0.03
579.4	3.997	0.027
584.8	3.983	0.03
590.4	3.969	0.03
596.1	3.956	0.027
601.9	3.943	0.025
607.8	3.931	0.025
613.8	3.918	0.024
619.9	3.906	0.022
626.2	3.893	0.022
632.6	3.882	0.019
639.1	3.87	0.018
645.8	3.858	0.017
652.6	3.847	0.016
659.5	3.837	0.016
666.6	3.826	0.015
673.8	3.815	0.014
681.2	3.805	0.013
688.8	3.796	0.013
696.5	3.787	0.013
704.5	3.778	0.012
712.6	3.768	0.011
720.8	3.761	0.011
729.3	3.752	0.01
738	3.745	0.01
746.9	3.736	0.009
756	3.728	0.009
765.3	3.721	0.008
774.9	3.714	0.008
784.7	3.705	0.007
794.8	3.697	0.007
805.1	3.688	0.006
815.7	3.681	0.006
826.6	3.673	0.01
1120	3.5361	0
1144	3.5295	0
1200	3.5193	0
1372	3.5007	0
1400	3.4876	0
1532	3.4784	0
1600	3.471	0
1696	3.4644	0
1800	3.4578	0
2000	3.449	0
2437.3	3.4434	0
2500	3.4424	0
